id,listingId,vin,stockNumber,year,make,model,trim,bodyStyle,mileage,askingPrice,transmission,imageFileName,photoArchiveStatus,highlights,available,daysInStock
ncm-090,205,KNDJP3A57G7842251,52502,2016,Kia,Soul,+,Vehicle,119990,7900,Automatic,2016_Kia_Soul_Plus_KNDJP3A57G7842251.jpg,saved_primary_photo,Fog Lights|Rearview Camera|Side Airbags,true,1
ncm-091,207,WAUKGBFB6BN047500,BN047500,2011,Audi,A6,3.0T Prestige,Vehicle,113662,7900,Automatic,2011_Audi_A6_3_0T_Prestige_WAUKGBFB6BN047500.jpg,saved_primary_photo,Fog Lights|Rearview Camera|Leather Interior,true,1
ncm-092,209,2G1WC5E35D1213210,661352,2013,Chevrolet,Impala,LTZ,Vehicle,111039,7900,Automatic,2013_Chevrolet_Impala_LTZ_2G1WC5E35D1213210.jpg,saved_primary_photo_noimage_placeholder,Fog Lights|Heated Seats|Steering Wheel Controls,true,1
ncm-093,211,1J4FA54108L565568,52448,2008,Jeep,Wrangler,Sahara,Vehicle,183723,7700,Automatic,2008_Jeep_Wrangler_Sahara_1J4FA54108L565568.jpg,saved_primary_photo,Fog Lights|Cruise Control|Towing Capability,true,1
ncm-094,213,JF2SH636X9H779475,52026,2009,Subaru,Forester (Natl),X w/Prem/All-Weather,Vehicle,123310,7500,Automatic,2009_Subaru_Forester_Natl_X_w_Prem_All_Weather_JF2SH636X9H779475.jpg,saved_primary_photo,Heated Seats|Side Airbags|Steering Wheel Controls,true,1
ncm-095,215,1J4PN2GKXBW516797,52427,2011,Jeep,Liberty,Sport,Vehicle,82809,7500,Automatic,2011_Jeep_Liberty_Sport_1J4PN2GKXBW516797.jpg,saved_primary_photo,Side Airbags|Cruise Control|Tire Pressure Monitoring,true,1
ncm-096,217,1N4AL3AP4EC119397,661399,2014,Nissan,Altima,2.5 SL,Vehicle,139533,7400,Automatic,2014_Nissan_Altima_2_5_SL_1N4AL3AP4EC119397.jpg,saved_primary_photo_noimage_placeholder,Fog Lights|Leather Interior|Heated Seats,true,1
ncm-097,219,2G1WB5EK3B1211060,661380,2011,Chevrolet,Impala,LT Retail,Vehicle,101489,7210,Automatic,2011_Chevrolet_Impala_LT_Retail_2G1WB5EK3B1211060.jpg,saved_primary_photo,Fog Lights|Side Airbags|Steering Wheel Controls,true,1
ncm-098,221,1G6KD54Y32U207409,61082,2002,Cadillac,DeVille,,Vehicle,48282,7100,Automatic,2002_Cadillac_DeVille_1G6KD54Y32U207409.jpg,saved_primary_photo,Leather Interior|Side Airbags|Steering Wheel Controls,true,1
ncm-099,223,4S3BNAN60F3030443,51738,2015,Subaru,Legacy,2.5i Limited,Vehicle,167143,6995,Automatic,2015_Subaru_Legacy_2_5i_Limited_4S3BNAN60F3030443.jpg,saved_primary_photo,Fog Lights|Rearview Camera|Heated Seats,true,1
ncm-100,225,JF2SH6CC3AH903211,52299,2010,Subaru,Forester,2.5X Premium,Vehicle,130419,6995,Automatic,2010_Subaru_Forester_2_5X_Premium_JF2SH6CC3AH903211.jpg,saved_primary_photo,Side Airbags|Steering Wheel Controls|Cruise Control,true,1
ncm-101,227,WMWMF3C59ATZ22661,52575,2010,MINI,Cooper Hardtop,,Vehicle,75284,6990,Automatic,2010_MINI_Cooper_Hardtop_WMWMF3C59ATZ22661.jpg,saved_primary_photo,Leather Interior|Side Airbags|Cruise Control,true,1
ncm-102,229,3C3CFFDR9DT598156,661315,2013,FIAT,500,Pop,Vehicle,52765,6990,Manual,2013_FIAT_500_Pop_3C3CFFDR9DT598156.jpg,saved_primary_photo,Side Airbags|Steering Wheel Controls|Cruise Control,true,1
ncm-103,231,JN8AS5MV2BW261622,61074,2011,Nissan,Rogue,SV,Vehicle,124848,6490,Automatic,2011_Nissan_Rogue_SV_JN8AS5MV2BW261622.jpg,saved_primary_photo,Rearview Camera|Side Airbags|Steering Wheel Controls,true,1
ncm-104,233,4T1BE32K35U057315,661273,2005,Toyota,Camry,LE,Vehicle,153026,5995,Automatic,2005_Toyota_Camry_LE_4T1BE32K35U057315.jpg,saved_primary_photo,Steering Wheel Controls|Cruise Control|Power Seats,true,1
ncm-105,235,1G1PA5SH8E7187698,661334,2014,Chevrolet,Cruze,LS,Vehicle,152683,5990,Automatic,2014_Chevrolet_Cruze_LS_1G1PA5SH8E7187698.jpg,saved_primary_photo,Steering Wheel Controls|Bluetooth|Roof/Cargo Rack,true,1
ncm-106,237,KMHDU46D49U659126,661416,2009,Hyundai,Elantra,SE,Vehicle,122217,5990,Automatic,2009_Hyundai_Elantra_SE_KMHDU46D49U659126.jpg,saved_primary_photo,Fog Lights|Side Airbags|Steering Wheel Controls,true,1
ncm-107,239,1GCFG15X071231888,661226,2007,Chevrolet,Express Cargo Van,,Vehicle,278589,4900,Automatic,2007_Chevrolet_Express_Cargo_Van_1GCFG15X071231888.jpg,saved_primary_photo,Side Airbags|Towing Capability|Tinted Windows,true,1
ncm-108,241,1G6DP577360151780,661377,2006,Cadillac,CTS,,Vehicle,164918,4500,Automatic,2006_Cadillac_CTS_1G6DP577360151780.jpg,saved_primary_photo_noimage_placeholder,Fog Lights|Side Airbags|Steering Wheel Controls,true,1
